"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"Count"	"Ontology"
"DG-GCL"	"GO:0050803"	"regulation of synapse structure or activity"	"27/595"	"185/11810"	5.70908416507973e-07	0.000763412319236134	0.00073827385478152	27	"BP"
"DG-GCL"	"GO:0042391"	"regulation of membrane potential"	"37/595"	"308/11810"	7.59047794418229e-07	0.000763412319236134	0.00073827385478152	37	"BP"
"DG-GCL"	"GO:0099173"	"postsynapse organization"	"22/595"	"144/11810"	2.94200514293995e-06	0.00236713733800948	0.00228918968595917	22	"BP"
"DG-GCL"	"GO:0098793"	"presynapse"	"42/619"	"405/12395"	5.42899663691394e-06	0.00020919733707575	0.000185919323425544	42	"CC"
"DG-GCL"	"GO:0048667"	"cell morphogenesis involved in neuron differentiation"	"46/595"	"458/11810"	5.65026009582796e-06	0.00378849939425265	0.00366374759897897	46	"BP"
"DG-GCL"	"GO:0050804"	"modulation of chemical synaptic transmission"	"37/595"	"345/11810"	1.11199240118501e-05	0.00597002286584518	0.00577343551216395	37	"BP"
"DG-GCL"	"GO:0099177"	"regulation of trans-synaptic signaling"	"37/595"	"346/11810"	1.18717829795579e-05	0.00597002286584518	0.00577343551216395	37	"BP"
"DG-GCL"	"GO:0043025"	"neuronal cell body"	"40/619"	"393/12395"	1.41939444326495e-05	0.000512756242629462	0.000455700321258746	40	"CC"
"DG-GCL"	"GO:0099175"	"regulation of postsynapse organization"	"15/595"	"84/11810"	1.67320737246741e-05	0.00747923695492934	0.00723295257150826	15	"BP"
"DG-GCL"	"GO:0033267"	"axon part"	"34/619"	"321/12395"	2.76903038491717e-05	0.000941470330871837	0.000836710110117386	34	"CC"
"DG-GCL"	"GO:0098948"	"intrinsic component of postsynaptic specialization membrane"	"13/619"	"69/12395"	3.08801560348215e-05	0.000991596121562601	0.000881258254093151	13	"CC"
"DG-GCL"	"GO:0007409"	"axonogenesis"	"37/595"	"362/11810"	3.23134721750194e-05	0.0129997098560103	0.0125716413851444	37	"BP"
"DG-GCL"	"GO:0000502"	"proteasome complex"	"12/619"	"60/12395"	3.33587388356451e-05	0.00101480794984226	0.000901887232786415	12	"CC"
"DG-GCL"	"GO:1905369"	"endopeptidase complex"	"12/619"	"61/12395"	3.96720036531862e-05	0.00114652090557708	0.0010189440938292	12	"CC"
"DG-GCL"	"GO:0007411"	"axon guidance"	"24/595"	"194/11810"	4.16583683288267e-05	0.0140840475058156	0.0136202727949801	24	"BP"
"DG-GCL"	"GO:0044297"	"cell body"	"42/619"	"442/12395"	4.48277341915312e-05	0.00123383001727167	0.00109653805942192	42	"CC"
"DG-GCL"	"GO:0097485"	"neuron projection guidance"	"24/595"	"195/11810"	4.53075105977307e-05	0.0140840475058156	0.0136202727949801	24	"BP"
"DG-GCL"	"GO:0010769"	"regulation of cell morphogenesis involved in differentiation"	"28/595"	"246/11810"	4.55114634788972e-05	0.0140840475058156	0.0136202727949801	28	"BP"
"DG-GCL"	"GO:1902495"	"transmembrane transporter complex"	"25/619"	"210/12395"	4.83230825275217e-05	0.00126957916822307	0.00112830929537945	25	"CC"
"DG-GCL"	"GO:0034702"	"ion channel complex"	"24/619"	"198/12395"	5.09407031079187e-05	0.00128016201723378	0.00113771455911507	24	"CC"
"DG-GCL"	"GO:0022604"	"regulation of cell morphogenesis"	"38/595"	"384/11810"	5.14822224913408e-05	0.0147937843630474	0.0143066386712779	38	"BP"
"DG-GCL"	"GO:0150034"	"distal axon"	"27/619"	"238/12395"	5.70860721159666e-05	0.00137482290345953	0.00122184224528911	27	"CC"
"DG-GCL"	"GO:0030687"	"preribosome, large subunit precursor"	"7/619"	"22/12395"	6.61318209734098e-05	0.00152896770090523	0.00135883488989575	7	"CC"
"DG-GCL"	"GO:0022839"	"ion gated channel activity"	"25/591"	"212/11561"	8.13408623145239e-05	0.0314417095487957	0.0292902025914078	25	"MF"
"DG-GCL"	"GO:0099060"	"integral component of postsynaptic specialization membrane"	"12/619"	"66/12395"	8.92154660374371e-05	0.00191419557215298	0.00170119730324286	12	"CC"
"DG-GCL"	"GO:1990351"	"transporter complex"	"25/619"	"218/12395"	8.94174402216792e-05	0.00191419557215298	0.00170119730324286	25	"CC"
"DG-GCL"	"GO:0060078"	"regulation of postsynaptic membrane potential"	"16/595"	"108/11810"	9.53603615200471e-05	0.024961042625427	0.0241390984846548	16	"BP"
"DG-GCL"	"GO:0061564"	"axon development"	"38/595"	"396/11810"	9.9273348746416e-05	0.024961042625427	0.0241390984846548	38	"BP"
"DG-GCL"	"GO:0022836"	"gated channel activity"	"25/591"	"216/11561"	0.000110171933736269	0.0314417095487957	0.0292902025914078	25	"MF"
"DG-GCL"	"GO:0099146"	"intrinsic component of postsynaptic density membrane"	"10/619"	"49/12395"	0.000125819283196477	0.00259726948884157	0.00230826354134891	10	"CC"
"DG-GCL"	"GO:0098982"	"GABA-ergic synapse"	"12/619"	"69/12395"	0.000139317526286343	0.00277674242046573	0.00246776598285791	12	"CC"
"DG-GCL"	"GO:0015276"	"ligand-gated ion channel activity"	"14/591"	"90/11561"	0.000176391077412599	0.0314417095487957	0.0292902025914078	14	"MF"
"DG-GCL"	"GO:0022834"	"ligand-gated channel activity"	"14/591"	"90/11561"	0.000176391077412599	0.0314417095487957	0.0292902025914078	14	"MF"
"DG-GCL"	"GO:0010771"	"negative regulation of cell morphogenesis involved in differentiation"	"13/595"	"81/11810"	0.00018806271094529	0.0445044874195825	0.0430389956441977	13	"BP"
"DG-GCL"	"GO:0050773"	"regulation of dendrite development"	"17/595"	"127/11810"	0.000208481403020677	0.0465955935751213	0.0450612436002586	17	"BP"
"DG-GCL"	"GO:0050919"	"negative chemotaxis"	"8/595"	"34/11810"	0.000224183973811053	0.0474680066653613	0.045904928931061	8	"BP"
"DG-GCL"	"GO:0010975"	"regulation of neuron projection development"	"38/595"	"414/11810"	0.000247537343424979	0.0497921366299346	0.0481525274367749	38	"BP"
"DG-GCL"	"GO:0034703"	"cation channel complex"	"19/619"	"155/12395"	0.000260868917398036	0.00502607447520216	0.00446680812948216	19	"CC"
"DG-GCL"	"GO:0042734"	"presynaptic membrane"	"17/619"	"131/12395"	0.000275242469418516	0.0051319402362549	0.00456089389053432	17	"CC"
"DG-GCL"	"GO:0060996"	"dendritic spine development"	"13/595"	"85/11810"	0.000307756364670406	0.0575009935540312	0.0556075388033804	13	"BP"
"DG-GCL"	"GO:0060998"	"regulation of dendritic spine development"	"11/595"	"64/11810"	0.000314447392042925	0.0575009935540312	0.0556075388033804	11	"BP"
"DG-GCL"	"GO:0022838"	"substrate-specific channel activity"	"27/591"	"259/11561"	0.000339409074462655	0.0398995599405235	0.0371692955229502	27	"MF"
"DG-GCL"	"GO:0043235"	"receptor complex"	"25/619"	"238/12395"	0.000355417988852471	0.00641973742364776	0.00570539403157914	25	"CC"
"DG-GCL"	"GO:0099061"	"integral component of postsynaptic density membrane"	"9/619"	"46/12395"	0.000381344166805997	0.00667930086102626	0.00593607506862286	9	"CC"
"DG-GCL"	"GO:0061001"	"regulation of dendritic spine morphogenesis"	"8/595"	"37/11810"	0.000417120604386916	0.072959834410807	0.0705573342706654	8	"BP"
"DG-GCL"	"GO:0060560"	"developmental growth involved in morphogenesis"	"21/595"	"186/11810"	0.000442815946312711	0.0742270230006681	0.0717827955075342	21	"BP"
"DG-GCL"	"GO:0043687"	"post-translational protein modification"	"28/595"	"283/11810"	0.000493477726639185	0.0794104357707776	0.0767955232698285	28	"BP"
"DG-GCL"	"GO:0005216"	"ion channel activity"	"26/591"	"253/11561"	0.000541162000508637	0.0398995599405235	0.0371692955229502	26	"MF"
"DG-GCL"	"GO:0048814"	"regulation of dendrite morphogenesis"	"12/595"	"79/11810"	0.000553938952737948	0.0857114002640294	0.0828890028064557	12	"BP"
"DG-GCL"	"GO:0008066"	"glutamate receptor activity"	"6/591"	"22/11561"	0.000642311557528162	0.0398995599405235	0.0371692955229502	6	"MF"
"DG-GCL"	"GO:0015267"	"channel activity"	"27/591"	"270/11561"	0.000652460546924258	0.0398995599405235	0.0371692955229502	27	"MF"
"DG-GCL"	"GO:0022803"	"passive transmembrane transporter activity"	"27/591"	"270/11561"	0.000652460546924258	0.0398995599405235	0.0371692955229502	27	"MF"
"DG-GCL"	"GO:0050771"	"negative regulation of axonogenesis"	"10/595"	"59/11810"	0.00065587690231937	0.0953914610835483	0.0922503081399831	10	"BP"
"DG-GCL"	"GO:0005516"	"calmodulin binding"	"17/591"	"138/11561"	0.000661036719261983	0.0398995599405235	0.0371692955229502	17	"MF"
"DG-GCL"	"GO:1990138"	"neuron projection extension"	"17/595"	"140/11810"	0.000663922672219575	0.0953914610835483	0.0922503081399831	17	"BP"
"DG-GCL"	"GO:0030426"	"growth cone"	"18/619"	"154/12395"	0.00066898414394674	0.0113727304470946	0.0101072527011148	18	"CC"
"DG-GCL"	"GO:0004298"	"threonine-type endopeptidase activity"	"5/591"	"15/11561"	0.000671521345422555	0.0398995599405235	0.0371692955229502	5	"MF"
"DG-GCL"	"GO:0070003"	"threonine-type peptidase activity"	"5/591"	"15/11561"	0.000671521345422555	0.0398995599405235	0.0371692955229502	5	"MF"
"DG-GCL"	"GO:0030427"	"site of polarized growth"	"18/619"	"155/12395"	0.000722605122617372	0.0115036594901876	0.0102236128778211	18	"CC"
"DG-GCL"	"GO:1905368"	"peptidase complex"	"12/619"	"82/12395"	0.000724776287629059	0.0115036594901876	0.0102236128778211	12	"CC"
"DG-GCL"	"GO:0032281"	"AMPA glutamate receptor complex"	"6/619"	"23/12395"	0.000736393427572563	0.0115036594901876	0.0102236128778211	6	"CC"
"DG-GCL"	"GO:0048167"	"regulation of synaptic plasticity"	"18/595"	"154/11810"	0.000737770470204777	0.102346572470132	0.0989763941153124	18	"BP"
"DG-GCL"	"GO:0035249"	"synaptic transmission, glutamatergic"	"11/595"	"71/11810"	0.000787055293781051	0.105544114896039	0.102068644414553	11	"BP"
"DG-GCL"	"GO:0030684"	"preribosome"	"11/619"	"72/12395"	0.000827470762982666	0.0121987596964522	0.0108413672042774	11	"CC"
"DG-GCL"	"GO:0016358"	"dendrite development"	"21/595"	"195/11810"	0.000827644867040925	0.107406945164698	0.103870133398413	21	"BP"
"DG-GCL"	"GO:0005839"	"proteasome core complex"	"5/619"	"16/12395"	0.000842512692283232	0.0121987596964522	0.0108413672042774	5	"CC"
"DG-GCL"	"GO:0043198"	"dendritic shaft"	"7/619"	"32/12395"	0.000844204823283892	0.0121987596964522	0.0108413672042774	7	"CC"
"DG-GCL"	"GO:0038179"	"neurotrophin signaling pathway"	"7/595"	"32/11810"	0.000888342969314601	0.111508928541341	0.107837042241008	7	"BP"
"DG-GCL"	"GO:0015698"	"inorganic anion transport"	"13/595"	"95/11810"	0.000917386299886539	0.111508928541341	0.107837042241008	13	"BP"
"DG-GCL"	"GO:0098797"	"plasma membrane protein complex"	"32/619"	"356/12395"	0.000930857898479708	0.0129481107426118	0.0115073357173457	32	"CC"
"DG-GCL"	"GO:0022624"	"proteasome accessory complex"	"6/619"	"24/12395"	0.000940866178528883	0.0129481107426118	0.0115073357173457	6	"CC"
"DG-GCL"	"GO:0030308"	"negative regulation of cell growth"	"16/595"	"132/11810"	0.000964918330420984	0.111508928541341	0.107837042241008	16	"BP"
"DG-GCL"	"GO:0048011"	"neurotrophin TRK receptor signaling pathway"	"6/595"	"24/11810"	0.000984401146661272	0.111508928541341	0.107837042241008	6	"BP"
"DG-GCL"	"GO:0050770"	"regulation of axonogenesis"	"18/595"	"158/11810"	0.000997842760996338	0.111508928541341	0.107837042241008	18	"BP"
"DG-GCL"	"GO:0048588"	"developmental cell growth"	"20/595"	"185/11810"	0.00103999925442711	0.11307883785298	0.109355255885138	20	"BP"
"DG-GCL"	"GO:0043254"	"regulation of protein complex assembly"	"31/595"	"344/11810"	0.00121888609745954	0.123168697844264	0.119112866081191	31	"BP"
"DG-GCL"	"GO:0090313"	"regulation of protein targeting to membrane"	"6/595"	"25/11810"	0.00124079174584064	0.123168697844264	0.119112866081191	6	"BP"
"DG-GCL"	"GO:0007215"	"glutamate receptor signaling pathway"	"11/595"	"75/11810"	0.00125526139985454	0.123168697844264	0.119112866081191	11	"BP"
"DG-GCL"	"GO:0106027"	"neuron projection organization"	"11/595"	"75/11810"	0.00125526139985454	0.123168697844264	0.119112866081191	11	"BP"
"DG-GCL"	"GO:0043410"	"positive regulation of MAPK cascade"	"30/595"	"331/11810"	0.00132792580308333	0.127196321566768	0.123007863864561	30	"BP"
"DG-GCL"	"GO:1905114"	"cell surface receptor signaling pathway involved in cell-cell signaling"	"35/595"	"409/11810"	0.00150361634463468	0.140675547778263	0.136043231573312	35	"BP"
"DG-GCL"	"GO:0098889"	"intrinsic component of presynaptic membrane"	"10/619"	"66/12395"	0.00150614366979187	0.0198605361449903	0.0176505948620566	10	"CC"
"DG-GCL"	"GO:0008328"	"ionotropic glutamate receptor complex"	"8/619"	"45/12395"	0.00154623551301827	0.0198605361449903	0.0176505948620566	8	"CC"
"DG-GCL"	"GO:0098878"	"neurotransmitter receptor complex"	"8/619"	"45/12395"	0.00154623551301827	0.0198605361449903	0.0176505948620566	8	"CC"
"DG-GCL"	"GO:0010499"	"proteasomal ubiquitin-independent protein catabolic process"	"5/595"	"18/11810"	0.0015807658425766	0.141626851102141	0.136963209355028	5	"BP"
"DG-GCL"	"GO:0010460"	"positive regulation of heart rate"	"4/595"	"11/11810"	0.00158419296534833	0.141626851102141	0.136963209355028	4	"BP"
"DG-GCL"	"GO:0048675"	"axon extension"	"13/595"	"101/11810"	0.00162882206653808	0.142451112471363	0.13776032855663	13	"BP"
"DG-GCL"	"GO:0004683"	"calmodulin-dependent protein kinase activity"	"6/591"	"26/11561"	0.00166464360981276	0.0834201136243926	0.077711805856635	6	"MF"
"DG-GCL"	"GO:0016049"	"cell growth"	"32/595"	"366/11810"	0.00167705372671608	0.143548662608059	0.138821737378334	32	"BP"
"DG-GCL"	"GO:0005244"	"voltage-gated ion channel activity"	"15/591"	"125/11561"	0.00175498135254683	0.0834201136243926	0.077711805856635	15	"MF"
"DG-GCL"	"GO:0022832"	"voltage-gated channel activity"	"15/591"	"125/11561"	0.00175498135254683	0.0834201136243926	0.077711805856635	15	"MF"
"DG-GCL"	"GO:0007610"	"behavior"	"35/595"	"415/11810"	0.00192470733127045	0.159514981417855	0.15426230001711	35	"BP"
"DG-GCL"	"GO:0016579"	"protein deubiquitination"	"22/595"	"223/11810"	0.00198446785444998	0.159514981417855	0.15426230001711	22	"BP"
"DG-GCL"	"GO:0022824"	"transmitter-gated ion channel activity"	"7/591"	"36/11561"	0.0020097242291396	0.0842901985515609	0.0785223522344946	7	"MF"
"DG-GCL"	"GO:0022835"	"transmitter-gated channel activity"	"7/591"	"36/11561"	0.0020097242291396	0.0842901985515609	0.0785223522344946	7	"MF"
"DG-GCL"	"GO:0048013"	"ephrin receptor signaling pathway"	"10/595"	"68/11810"	0.0020221884296074	0.159514981417855	0.15426230001711	10	"BP"
"DG-GCL"	"GO:0097061"	"dendritic spine organization"	"10/595"	"68/11810"	0.0020221884296074	0.159514981417855	0.15426230001711	10	"BP"
"DG-GCL"	"GO:0044309"	"neuron spine"	"17/619"	"156/12395"	0.00202242262507084	0.0254121799411075	0.0225844906415233	17	"CC"
"DG-GCL"	"GO:0010977"	"negative regulation of neuron projection development"	"15/595"	"129/11810"	0.00208889489693166	0.161608157122232	0.156286549373672	15	"BP"
"DG-GCL"	"GO:0008038"	"neuron recognition"	"7/595"	"37/11810"	0.00218425450765012	0.162726960819934	0.157368511896196	7	"BP"
"DG-GCL"	"GO:0060999"	"positive regulation of dendritic spine development"	"7/595"	"37/11810"	0.00218425450765012	0.162726960819934	0.157368511896196	7	"BP"
"DG-GCL"	"GO:0007611"	"learning or memory"	"20/595"	"197/11810"	0.00222895801858534	0.16303814743216	0.157669451419931	20	"BP"
"DG-GCL"	"GO:0005261"	"cation channel activity"	"20/591"	"195/11561"	0.0023353189359253	0.0902013689433495	0.0840290304912579	20	"MF"
"DG-GCL"	"GO:0022843"	"voltage-gated cation channel activity"	"12/591"	"92/11561"	0.00244235079015906	0.0902013689433495	0.0840290304912579	12	"MF"
"DG-GCL"	"GO:0030594"	"neurotransmitter receptor activity"	"9/591"	"58/11561"	0.00253019267723281	0.0902013689433495	0.0840290304912579	9	"MF"
"DG-GCL"	"GO:0005838"	"proteasome regulatory particle"	"5/619"	"20/12395"	0.00253292202956012	0.031149551767782	0.0276834479378576	5	"CC"
"DG-GCL"	"GO:0008347"	"glial cell migration"	"7/595"	"38/11810"	0.00256335526294859	0.182488466871683	0.176479289756987	7	"BP"
"DG-GCL"	"GO:0035235"	"ionotropic glutamate receptor signaling pathway"	"5/595"	"20/11810"	0.00263095477965637	0.182488466871683	0.176479289756987	5	"BP"
"DG-GCL"	"GO:0045823"	"positive regulation of heart contraction"	"5/595"	"20/11810"	0.00263095477965637	0.182488466871683	0.176479289756987	5	"BP"
"DG-GCL"	"GO:0022890"	"inorganic cation transmembrane transporter activity"	"33/591"	"387/11561"	0.0026974023418007	0.091583231890662	0.0853163347206137	33	"MF"
"DG-GCL"	"GO:0099056"	"integral component of presynaptic membrane"	"9/619"	"60/12395"	0.00274922491844109	0.0329947594530518	0.0293233338428142	9	"CC"
"DG-GCL"	"GO:0032386"	"regulation of intracellular transport"	"29/595"	"332/11810"	0.00275159954597432	0.185943731120649	0.179820775337053	29	"BP"
"DG-GCL"	"GO:0055037"	"recycling endosome"	"15/619"	"134/12395"	0.00279713358685041	0.0329947594530518	0.0293233338428142	15	"CC"
"DG-GCL"	"GO:1903524"	"positive regulation of blood circulation"	"6/595"	"29/11810"	0.00280382938382393	0.185943731120649	0.179820775337053	6	"BP"
"DG-GCL"	"GO:0021543"	"pallium development"	"15/595"	"133/11810"	0.00281943017607745	0.185943731120649	0.179820775337053	15	"BP"
"DG-GCL"	"GO:0099072"	"regulation of postsynaptic membrane neurotransmitter receptor levels"	"9/595"	"60/11810"	0.0029126716133822	0.188994804848977	0.182771380018007	9	"BP"
"DG-GCL"	"GO:0015103"	"inorganic anion transmembrane transporter activity"	"11/591"	"82/11561"	0.00292115165012193	0.0946718693880424	0.0881936215898055	11	"MF"
"DG-GCL"	"GO:1902711"	"GABA-A receptor complex"	"4/619"	"13/12395"	0.00306765398303468	0.0354620800438809	0.0315161082888616	4	"CC"
"DG-GCL"	"GO:0045898"	"regulation of RNA polymerase II transcriptional preinitiation complex assembly"	"4/595"	"13/11810"	0.00316641109237064	0.191514682874257	0.185208280781102	4	"BP"
"DG-GCL"	"GO:0060997"	"dendritic spine morphogenesis"	"8/595"	"50/11810"	0.00326232600428592	0.191514682874257	0.185208280781102	8	"BP"
"DG-GCL"	"GO:0070988"	"demethylation"	"8/595"	"50/11810"	0.00326232600428592	0.191514682874257	0.185208280781102	8	"BP"
"DG-GCL"	"GO:0021801"	"cerebral cortex radial glia guided migration"	"5/595"	"21/11810"	0.0033120055575049	0.191514682874257	0.185208280781102	5	"BP"
"DG-GCL"	"GO:0022030"	"telencephalon glial cell migration"	"5/595"	"21/11810"	0.0033120055575049	0.191514682874257	0.185208280781102	5	"BP"
"DG-GCL"	"GO:0004890"	"GABA-A receptor activity"	"4/591"	"13/11561"	0.0033380288200157	0.102916716795601	0.0958742869978948	4	"MF"
"DG-GCL"	"GO:0006734"	"NADH metabolic process"	"6/595"	"30/11810"	0.00335816313408572	0.191514682874257	0.185208280781102	6	"BP"
"DG-GCL"	"GO:0048846"	"axon extension involved in axon guidance"	"6/595"	"30/11810"	0.00335816313408572	0.191514682874257	0.185208280781102	6	"BP"
"DG-GCL"	"GO:1902284"	"neuron projection extension involved in neuron projection guidance"	"6/595"	"30/11810"	0.00335816313408572	0.191514682874257	0.185208280781102	6	"BP"
"DG-GCL"	"GO:0006935"	"chemotaxis"	"30/595"	"352/11810"	0.00337995090332396	0.191514682874257	0.185208280781102	30	"BP"
"DG-GCL"	"GO:0099565"	"chemical synaptic transmission, postsynaptic"	"11/595"	"85/11810"	0.00347520477966343	0.194177067063694	0.187782995111638	11	"BP"
"DG-GCL"	"GO:0045499"	"chemorepellent activity"	"5/591"	"21/11561"	0.00352649775423431	0.102916716795601	0.0958742869978948	5	"MF"
"DG-GCL"	"GO:0098960"	"postsynaptic neurotransmitter receptor activity"	"6/591"	"30/11561"	0.00360858053280507	0.102916716795601	0.0958742869978948	6	"MF"
"DG-GCL"	"GO:0042330"	"taxis"	"30/595"	"354/11810"	0.00367159382337837	0.202340026732208	0.195677156037584	30	"BP"
"DG-GCL"	"GO:0051495"	"positive regulation of cytoskeleton organization"	"17/595"	"165/11810"	0.00397571970915693	0.216139464728896	0.209022191252404	17	"BP"
"DG-GCL"	"GO:0044089"	"positive regulation of cellular component biogenesis"	"33/595"	"403/11810"	0.00405758465777383	0.217623095962437	0.210456967876073	33	"BP"
"DG-GCL"	"GO:0090314"	"positive regulation of protein targeting to membrane"	"5/595"	"22/11810"	0.00411119942658345	0.217623095962437	0.210456967876073	5	"BP"
"DG-GCL"	"GO:1902710"	"GABA receptor complex"	"4/619"	"14/12395"	0.00412682757289449	0.0467707124928042	0.0415663953678536	4	"CC"
"DG-GCL"	"GO:0007160"	"cell-matrix adhesion"	"15/595"	"139/11810"	0.00430012690347594	0.224667669255633	0.217269569859837	15	"BP"
"DG-GCL"	"GO:0043197"	"dendritic spine"	"16/619"	"154/12395"	0.00435183434163022	0.048372312489659	0.0429897805408005	16	"CC"
"DG-GCL"	"GO:1990381"	"ubiquitin-specific protease binding"	"4/591"	"14/11561"	0.00448635842912794	0.12302975230647	0.114611018978936	4	"MF"
"DG-GCL"	"GO:0050890"	"cognition"	"21/595"	"224/11810"	0.00453899213238391	0.233079658452829	0.22540456000148	21	"BP"
"DG-GCL"	"GO:0042752"	"regulation of circadian rhythm"	"10/595"	"76/11810"	0.00463472934091784	0.233079658452829	0.22540456000148	10	"BP"
"DG-GCL"	"GO:0070646"	"protein modification by small protein removal"	"22/595"	"239/11810"	0.00463494225111269	0.233079658452829	0.22540456000148	22	"BP"
"DG-GCL"	"GO:0099084"	"postsynaptic specialization organization"	"6/595"	"32/11810"	0.00470589452632331	0.233726094807391	0.226029709802352	6	"BP"
"DG-GCL"	"GO:0071804"	"cellular potassium ion transport"	"15/595"	"141/11810"	0.00491558326353155	0.235874602362313	0.228107468982589	15	"BP"
"DG-GCL"	"GO:0071805"	"potassium ion transmembrane transport"	"15/595"	"141/11810"	0.00491558326353155	0.235874602362313	0.228107468982589	15	"BP"
"DG-GCL"	"GO:0008324"	"cation transmembrane transporter activity"	"34/591"	"418/11561"	0.00493488295729753	0.126904750750353	0.118220857346236	34	"MF"
"DG-GCL"	"GO:0006493"	"protein O-linked glycosylation"	"9/595"	"65/11810"	0.00504231066446903	0.235874602362313	0.228107468982589	9	"BP"
"DG-GCL"	"GO:0007045"	"cell-substrate adherens junction assembly"	"9/595"	"65/11810"	0.00504231066446903	0.235874602362313	0.228107468982589	9	"BP"
"DG-GCL"	"GO:0048041"	"focal adhesion assembly"	"9/595"	"65/11810"	0.00504231066446903	0.235874602362313	0.228107468982589	9	"BP"
"DG-GCL"	"GO:0046875"	"ephrin receptor binding"	"5/591"	"23/11561"	0.00535893366567269	0.126904750750353	0.118220857346236	5	"MF"
"DG-GCL"	"GO:0061387"	"regulation of extent of cell growth"	"11/595"	"90/11810"	0.00540725414858876	0.246903200011748	0.23877290507043	11	"BP"
"DG-GCL"	"GO:0031589"	"cell-substrate adhesion"	"20/595"	"213/11810"	0.00543916597649359	0.246903200011748	0.23877290507043	20	"BP"
"DG-GCL"	"GO:0030517"	"negative regulation of axon extension"	"6/595"	"33/11810"	0.0055118148744558	0.246903200011748	0.23877290507043	6	"BP"
"DG-GCL"	"GO:0099094"	"ligand-gated cation channel activity"	"9/591"	"65/11561"	0.00553705659045925	0.126904750750353	0.118220857346236	9	"MF"
"DG-GCL"	"GO:0070306"	"lens fiber cell differentiation"	"4/595"	"15/11810"	0.0055781637117451	0.246903200011748	0.23877290507043	4	"BP"
"DG-GCL"	"GO:0090630"	"activation of GTPase activity"	"9/595"	"66/11810"	0.00558493442731024	0.246903200011748	0.23877290507043	9	"BP"
"DG-GCL"	"GO:0006813"	"potassium ion transport"	"16/595"	"157/11810"	0.00568696342956171	0.248681020403552	0.240492183474372	16	"BP"
"DG-GCL"	"GO:0005249"	"voltage-gated potassium channel activity"	"8/591"	"54/11561"	0.00577872553734382	0.126904750750353	0.118220857346236	8	"MF"
"DG-GCL"	"GO:0004653"	"polypeptide N-acetylgalactosaminyltransferase activity"	"4/591"	"15/11561"	0.00587357191411172	0.126904750750353	0.118220857346236	4	"MF"
"DG-GCL"	"GO:0016917"	"GABA receptor activity"	"4/591"	"15/11561"	0.00587357191411172	0.126904750750353	0.118220857346236	4	"MF"
