sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
R10709	R10709	DG-GCL RNA Sample R10709	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10709_R1.fastq.gz	R10709_R2.fastq.gz
R10710	R10710	DG-GCL RNA Sample R10710	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10710_R1.fastq.gz	R10710_R2.fastq.gz
R10711	R10711	DG-GCL RNA Sample R10711	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10711_R1.fastq.gz	R10711_R2.fastq.gz
R10712	R10712	DG-GCL RNA Sample R10712	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10712_R1.fastq.gz	R10712_R2.fastq.gz
R10713	R10713	DG-GCL RNA Sample R10713	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10713_R1.fastq.gz	R10713_R2.fastq.gz
R10714	R10714	DG-GCL RNA Sample R10714	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10714_R1.fastq.gz	R10714_R2.fastq.gz
R10715	R10715	DG-GCL RNA Sample R10715	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10715_R1.fastq.gz	R10715_R2.fastq.gz
R10716	R10716	DG-GCL RNA Sample R10716	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10716_R1.fastq.gz	R10716_R2.fastq.gz
R10756	R10756	DG-GCL RNA Sample R10756	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R10756_R1.fastq.gz	R10756_R2.fastq.gz
R11443	R11443	DG-GCL RNA Sample R11443	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11443_R1.fastq.gz	R11443_R2.fastq.gz
R11444	R11444	DG-GCL RNA Sample R11444	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11444_R1.fastq.gz	R11444_R2.fastq.gz
R11445	R11445	DG-GCL RNA Sample R11445	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11445_R1.fastq.gz	R11445_R2.fastq.gz
R11446	R11446	DG-GCL RNA Sample R11446	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11446_R1.fastq.gz	R11446_R2.fastq.gz
R11447	R11447	DG-GCL RNA Sample R11447	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11447_R1.fastq.gz	R11447_R2.fastq.gz
R11448	R11448	DG-GCL RNA Sample R11448	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11448_R1.fastq.gz	R11448_R2.fastq.gz
R11449	R11449	DG-GCL RNA Sample R11449	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11449_R1.fastq.gz	R11449_R2.fastq.gz
R11450	R11450	DG-GCL RNA Sample R11450	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11450_R1.fastq.gz	R11450_R2.fastq.gz
R11451	R11451	DG-GCL RNA Sample R11451	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11451_R1.fastq.gz	R11451_R2.fastq.gz
R11452	R11452	DG-GCL RNA Sample R11452	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11452_R1.fastq.gz	R11452_R2.fastq.gz
R11454	R11454	DG-GCL RNA Sample R11454	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11454_R1.fastq.gz	R11454_R2.fastq.gz
R11455	R11455	DG-GCL RNA Sample R11455	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11455_R1.fastq.gz	R11455_R2.fastq.gz
R11457	R11457	DG-GCL RNA Sample R11457	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11457_R1.fastq.gz	R11457_R2.fastq.gz
R11458	R11458	DG-GCL RNA Sample R11458	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11458_R1.fastq.gz	R11458_R2.fastq.gz
R11459	R11459	DG-GCL RNA Sample R11459	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11459_R1.fastq.gz	R11459_R2.fastq.gz
R11460	R11460	DG-GCL RNA Sample R11460	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11460_R1.fastq.gz	R11460_R2.fastq.gz
R11461	R11461	DG-GCL RNA Sample R11461	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11461_R1.fastq.gz	R11461_R2.fastq.gz
R11462	R11462	DG-GCL RNA Sample R11462	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11462_R1.fastq.gz	R11462_R2.fastq.gz
R11463	R11463	DG-GCL RNA Sample R11463	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11463_R1.fastq.gz	R11463_R2.fastq.gz
R11464	R11464	DG-GCL RNA Sample R11464	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11464_R1.fastq.gz	R11464_R2.fastq.gz
R11465	R11465	DG-GCL RNA Sample R11465	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11465_R1.fastq.gz	R11465_R2.fastq.gz
R11467	R11467	DG-GCL RNA Sample R11467	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11467_R1.fastq.gz	R11467_R2.fastq.gz
R11468	R11468	DG-GCL RNA Sample R11468	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11468_R1.fastq.gz	R11468_R2.fastq.gz
R11469	R11469	DG-GCL RNA Sample R11469	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11469_R1.fastq.gz	R11469_R2.fastq.gz
R11470	R11470	DG-GCL RNA Sample R11470	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11470_R1.fastq.gz	R11470_R2.fastq.gz
R11471	R11471	DG-GCL RNA Sample R11471	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11471_R1.fastq.gz	R11471_R2.fastq.gz
R11472	R11472	DG-GCL RNA Sample R11472	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11472_R1.fastq.gz	R11472_R2.fastq.gz
R11473	R11473	DG-GCL RNA Sample R11473	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R11473_R1.fastq.gz	R11473_R2.fastq.gz
R12202	R12202	DG-GCL RNA Sample R12202	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12202_R1.fastq.gz	R12202_R2.fastq.gz
R12203	R12203	DG-GCL RNA Sample R12203	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12203_R1.fastq.gz	R12203_R2.fastq.gz
R12204	R12204	DG-GCL RNA Sample R12204	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12204_R1.fastq.gz	R12204_R2.fastq.gz
R12205	R12205	DG-GCL RNA Sample R12205	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12205_R1.fastq.gz	R12205_R2.fastq.gz
R12206	R12206	DG-GCL RNA Sample R12206	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12206_R1.fastq.gz	R12206_R2.fastq.gz
R12207	R12207	DG-GCL RNA Sample R12207	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12207_R1.fastq.gz	R12207_R2.fastq.gz
R12208	R12208	DG-GCL RNA Sample R12208	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12208_R1.fastq.gz	R12208_R2.fastq.gz
R12209	R12209	DG-GCL RNA Sample R12209	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12209_R1.fastq.gz	R12209_R2.fastq.gz
R12210	R12210	DG-GCL RNA Sample R12210	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12210_R1.fastq.gz	R12210_R2.fastq.gz
R12211	R12211	DG-GCL RNA Sample R12211	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12211_R1.fastq.gz	R12211_R2.fastq.gz
R12212	R12212	DG-GCL RNA Sample R12212	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12212_R1.fastq.gz	R12212_R2.fastq.gz
R12213	R12213	DG-GCL RNA Sample R12213	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12213_R1.fastq.gz	R12213_R2.fastq.gz
R12214	R12214	DG-GCL RNA Sample R12214	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12214_R1.fastq.gz	R12214_R2.fastq.gz
R12215	R12215	DG-GCL RNA Sample R12215	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12215_R1.fastq.gz	R12215_R2.fastq.gz
R12216	R12216	DG-GCL RNA Sample R12216	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12216_R1.fastq.gz	R12216_R2.fastq.gz
R12218	R12218	DG-GCL RNA Sample R12218	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12218_R1.fastq.gz	R12218_R2.fastq.gz
R12219	R12219	DG-GCL RNA Sample R12219	RNA-Seq	TRANSCRIPTOMIC	Inverse rRNA	paired	ILLUMINA	Illumina HiSeq 2000	The granule cell layer of the human hippocampus was obtained with laser capture microdissection, RNA was extracted and subjected to RNA sequencing after creating libraries with the Illumina Ribo-Zero protocol, and sequenced on an Illumina HiSeq 2000 with 2x100bp reads.	fastq	R12219_R1.fastq.gz	R12219_R2.fastq.gz
